date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:22	94256/94256	---M-Z	200	added ('OK')	text/html	etag:%221695941746%22	https://www.ice.gov/most-wanted/agzamov-sandjar	D:/paginas/ice/www.ice.gov/most-wanted/agzamov-sandjar.html	(from )
16:56:22	605/605	---M-Z	200	added ('OK')	text/plain	etag:%226aa-605f5c77d7e2d%22	https://www.ice.gov/robots.txt		(from )
16:56:23	259658/259658	---M-Z	200	added ('OK')	application/javascript	etag:%223f64a-60641e7243e68%22	https://www.ice.gov/sites/default/files/google_analytics/gtag.js?s1p8o5	D:/paginas/ice/www.ice.gov/sites/default/files/google_analytics/gtagf852.js	(from https://www.ice.gov/most-wanted/agzamov-sandjar)
16:56:23	130/130	---M-Z	200	added ('OK')	text/css	etag:%2282-5a0337e66dd00%22	https://www.ice.gov/sites/default/files/fontyourface/local_fonts/source_sans_pro_custom/font.css	D:/paginas/ice/www.ice.gov/sites/default/files/fontyourface/local_fonts/source_sans_pro_custom/font.css	(from https://www.ice.gov/most-wanted/agzamov-sandjar)
16:56:23	462636/462636	---M-Z	200	added ('OK')	text/css	etag:%2210dfe-60649996540e8%22	https://www.ice.gov/sites/default/files/css/css_QuVTXDexkj611oa4d2lEtBkLmCv2JeXk2w7nvxkR7ig.css?delta=0&language=en&theme=uswds_iced8_gov_theme&include=eJyFU0t2wyAMvBCGbffddZsD8GRLdkgBuXxM3NMX7KRN2uR1AzPDSAIBgeLMPpqFtCOfVbjn0rVRhH9cA_vRTAIQE4Nf1RXIMbBPArxxkEyNUD9QpnUmfDs8Wd0hvR6eGQqXGjxwIHX6yBTWx77dwX6giiyHns_qCjqk5UdFGiHb9C1o463xpH5xgZDAwkpB9XSExXCIYqzHhEKRHakbLAv1jf5vkPFonJiYJ0saPNg1mSGq34KIa0zkVA-RRI4Fo25QjQEcFQ7vF9EMhC964kWnI9WSD9XqHQkb_VPXMmD3TbsB_d5HDHkGK9HE2UJtaRmcjjkstKp9EnROtUvvV-eFisVQiWobpWPMlu4SzoGn-qgut9Wqn-KdAbznvF_ijXiCs-gtfK4Kt-lCesP72lZPN6gnSuoK9iTGJwr1iHJ_PnLk4O72uaUYDVnUU-A8q-aAVKPkMTmrydYm1ud9a2mZRWnfYoLtq7SYestdE7qmdNufII9fqMpdtQ	D:/paginas/ice/www.ice.gov/sites/default/files/css/css_QuVTXDexkj611oa4d2lEtBkLmCv2JeXk2w7nvxkR7ig0853.css	(from https://www.ice.gov/most-wanted/agzamov-sandjar)
16:56:24	1988857/1988857	---M-Z	200	added ('OK')	text/css	etag:%2265ef2-60649a28ca328%22	https://www.ice.gov/sites/default/files/css/css_yBEocfvcHfhs50p8_vgWw55htZ3aHrQD7i8Wbicm_Ig.css?delta=1&language=en&theme=uswds_iced8_gov_theme&include=eJyFU0t2wyAMvBCGbffddZsD8GRLdkgBuXxM3NMX7KRN2uR1AzPDSAIBgeLMPpqFtCOfVbjn0rVRhH9cA_vRTAIQE4Nf1RXIMbBPArxxkEyNUD9QpnUmfDs8Wd0hvR6eGQqXGjxwIHX6yBTWx77dwX6giiyHns_qCjqk5UdFGiHb9C1o463xpH5xgZDAwkpB9XSExXCIYqzHhEKRHakbLAv1jf5vkPFonJiYJ0saPNg1mSGq34KIa0zkVA-RRI4Fo25QjQEcFQ7vF9EMhC964kWnI9WSD9XqHQkb_VPXMmD3TbsB_d5HDHkGK9HE2UJtaRmcjjkstKp9EnROtUvvV-eFisVQiWobpWPMlu4SzoGn-qgut9Wqn-KdAbznvF_ijXiCs-gtfK4Kt-lCesP72lZPN6gnSuoK9iTGJwr1iHJ_PnLk4O72uaUYDVnUU-A8q-aAVKPkMTmrydYm1ud9a2mZRWnfYoLtq7SYestdE7qmdNufII9fqMpdtQ	D:/paginas/ice/www.ice.gov/sites/default/files/css/css_yBEocfvcHfhs50p8_vgWw55htZ3aHrQD7i8Wbicm_Ig2df4.css	(from https://www.ice.gov/most-wanted/agzamov-sandjar)
16:56:24	3515/3515	---M-Z	200	added ('OK')	text/css	etag:%2242e-60649a2ae7f20%22	https://www.ice.gov/sites/default/files/css/css_Z43wZUiTqI_c2TcimvMAd-C3PtueR_mSDZ8Yamc1vYI.css?delta=2&language=en&theme=uswds_iced8_gov_theme&include=eJyFU0t2wyAMvBCGbffddZsD8GRLdkgBuXxM3NMX7KRN2uR1AzPDSAIBgeLMPpqFtCOfVbjn0rVRhH9cA_vRTAIQE4Nf1RXIMbBPArxxkEyNUD9QpnUmfDs8Wd0hvR6eGQqXGjxwIHX6yBTWx77dwX6giiyHns_qCjqk5UdFGiHb9C1o463xpH5xgZDAwkpB9XSExXCIYqzHhEKRHakbLAv1jf5vkPFonJiYJ0saPNg1mSGq34KIa0zkVA-RRI4Fo25QjQEcFQ7vF9EMhC964kWnI9WSD9XqHQkb_VPXMmD3TbsB_d5HDHkGK9HE2UJtaRmcjjkstKp9EnROtUvvV-eFisVQiWobpWPMlu4SzoGn-qgut9Wqn-KdAbznvF_ijXiCs-gtfK4Kt-lCesP72lZPN6gnSuoK9iTGJwr1iHJ_PnLk4O72uaUYDVnUU-A8q-aAVKPkMTmrydYm1ud9a2mZRWnfYoLtq7SYestdE7qmdNufII9fqMpdtQ	D:/paginas/ice/www.ice.gov/sites/default/files/css/css_Z43wZUiTqI_c2TcimvMAd-C3PtueR_mSDZ8Yamc1vYI5e96.css	(from https://www.ice.gov/most-wanted/agzamov-sandjar)
16:56:24	11527/11527	---M-Z	200	added ('OK')	text/css	etag:%22859-60649a28ad250%22	https://www.ice.gov/sites/default/files/css/css_Y5JVMVj2uzeOQknAXg3OTBManuu0zewtuL0aPJkBZTY.css?delta=3&language=en&theme=uswds_iced8_gov_theme&include=eJyFU0t2wyAMvBCGbffddZsD8GRLdkgBuXxM3NMX7KRN2uR1AzPDSAIBgeLMPpqFtCOfVbjn0rVRhH9cA_vRTAIQE4Nf1RXIMbBPArxxkEyNUD9QpnUmfDs8Wd0hvR6eGQqXGjxwIHX6yBTWx77dwX6giiyHns_qCjqk5UdFGiHb9C1o463xpH5xgZDAwkpB9XSExXCIYqzHhEKRHakbLAv1jf5vkPFonJiYJ0saPNg1mSGq34KIa0zkVA-RRI4Fo25QjQEcFQ7vF9EMhC964kWnI9WSD9XqHQkb_VPXMmD3TbsB_d5HDHkGK9HE2UJtaRmcjjkstKp9EnROtUvvV-eFisVQiWobpWPMlu4SzoGn-qgut9Wqn-KdAbznvF_ijXiCs-gtfK4Kt-lCesP72lZPN6gnSuoK9iTGJwr1iHJ_PnLk4O72uaUYDVnUU-A8q-aAVKPkMTmrydYm1ud9a2mZRWnfYoLtq7SYestdE7qmdNufII9fqMpdtQ	D:/paginas/ice/www.ice.gov/sites/default/files/css/css_Y5JVMVj2uzeOQknAXg3OTBManuu0zewtuL0aPJkBZTY775f.css	(from https://www.ice.gov/most-wanted/agzamov-sandjar)
16:56:24	94429/94429	---M-Z	200	added ('OK')	text/javascript	etag:%227ee0-6064994411f38%22	https://www.ice.gov/sites/default/files/js/js_-VLvIadlzdwEyn6lsi3xKZj5nmesHVL-Nj3jX0HRAvk.js?scope=header&delta=0&language=en&theme=uswds_iced8_gov_theme&include=eJyFU0t2wyAMvBCGbffddZsD8GRLdkgBuXxM3NMX7KRN2uR1AzPDSAIBgeLMPpqFtCOfVbjn0rVRhH9cA_vRTAIQE4Nf1RXIMbBPArxxkEyNUD9QpnUmfDs8Wd0hvR6eGQqXGjxwIHX6yBTWx77dwX6giiyHns_qCjqk5UdFGiHb9C1o463xpH5xgZDAwkpB9XSExXCIYqzHhEKRHakbLAv1jf5vkPFonJiYJ0saPNg1mSGq34KIa0zkVA-RRI4Fo25QjQEcFQ7vF9EMhC964kWnI9WSD9XqHQkb_VPXMmD3TbsB_d5HDHkGK9HE2UJtaRmcjjkstKp9EnROtUvvV-eFisVQiWobpWPMlu4SzoGn-qgut9Wqn-KdAbznvF_ijXiCs-gtfK4Kt-lCesP72lZPN6gnSuoK9iTGJwr1iHJ_PnLk4O72uaUYDVnUU-A8q-aAVKPkMTmrydYm1ud9a2mZRWnfYoLtq7SYestdE7qmdNufII9fqMpdtQ	D:/paginas/ice/www.ice.gov/sites/default/files/js/js_-VLvIadlzdwEyn6lsi3xKZj5nmesHVL-Nj3jX0HRAvka768.js	(from https://www.ice.gov/most-wanted/agzamov-sandjar)
16:56:24	85184/85184	---M-Z	200	added ('OK')	application/javascript	etag:%2214cc0-605f5c776a446%22	https://www.ice.gov/profiles/iced8_gov/themes/uswds_iced8_gov_theme/assets/js/uswds.min.js?v=1.0.1	D:/paginas/ice/www.ice.gov/profiles/iced8_gov/themes/uswds_iced8_gov_theme/assets/js/uswds.minf700.js	(from https://www.ice.gov/most-wanted/agzamov-sandjar)
